"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)"
"MFP","03-Apr-2024","36","35.44"
"MFP","03-Apr-2024","37","37.64"
"MFP","03-Apr-2024","38","37.64"
"MFP","03-Apr-2024","39","37.64"
"MFP","03-Apr-2024","40","37.64"
"MFP","03-Apr-2024","41","35.44"
"MFP","03-Apr-2024","42","35.44"
"MFP","03-Apr-2024","43","35.00"
"MFP","03-Apr-2024","44","35.44"
"MFP","03-Apr-2024","45","35.00"
"MFP","03-Apr-2024","46","33.33"
"MFP","03-Apr-2024","47","33.33"
"MFP","03-Apr-2024","48","22.22"
"MFP","04-Apr-2024","1","30.00"
"MFP","04-Apr-2024","2","22.22"
"MFP","04-Apr-2024","3","22.22"
"MFP","04-Apr-2024","4","22.22"
"MFP","04-Apr-2024","5","20.94"
"MFP","04-Apr-2024","6","15.46"
"MFP","04-Apr-2024","7","11.11"
"MFP","04-Apr-2024","8","12.53"
"MFP","04-Apr-2024","9","12.52"
"MFP","04-Apr-2024","10","15.46"
"MFP","04-Apr-2024","11","10.00"
"MFP","04-Apr-2024","12","12.88"
"MFP","04-Apr-2024","13","30.00"
"MFP","04-Apr-2024","14","63.33"
"MFP","04-Apr-2024","15","70.00"
"MFP","04-Apr-2024","16","44.99"
"MFP","04-Apr-2024","17","70.00"
"MFP","04-Apr-2024","18","80.00"
"MFP","04-Apr-2024","19","73.00"
"MFP","04-Apr-2024","20","65.40"
"MFP","04-Apr-2024","21","44.44"
"MFP","04-Apr-2024","22","70.00"
"MFP","04-Apr-2024","23","44.44"
"MFP","04-Apr-2024","24","37.00"
"MFP","04-Apr-2024","25","65.55"
"MFP","04-Apr-2024","26","65.55"
"MFP","04-Apr-2024","27","69.98"
"MFP","04-Apr-2024","28","44.44"
"MFP","04-Apr-2024","29","70.00"
"MFP","04-Apr-2024","30","139.04"
"MFP","04-Apr-2024","31","168.00"
"MFP","04-Apr-2024","32","168.00"
"MFP","04-Apr-2024","33","165.58"
"MFP","04-Apr-2024","34","175.44"
"MFP","04-Apr-2024","35","37.64"
"MFP","04-Apr-2024","36","37.64"
"MFP","04-Apr-2024","37","37.64"
"MFP","04-Apr-2024","38","37.64"
"MFP","04-Apr-2024","39","37.64"
"MFP","04-Apr-2024","40","37.64"
"MFP","04-Apr-2024","41","37.64"
"MFP","04-Apr-2024","42","37.64"
"MFP","04-Apr-2024","43","37.64"
"MFP","04-Apr-2024","44","37.64"
"MFP","04-Apr-2024","45","37.00"
"MFP","04-Apr-2024","46","30.00"
"MFP","04-Apr-2024","47","26.16"
"MFP","04-Apr-2024","48","25.87"
"MFP","05-Apr-2024","1","15.00"
"MFP","05-Apr-2024","2","15.00"
"MFP","05-Apr-2024","3","15.00"
"MFP","05-Apr-2024","4","15.00"
"MFP","05-Apr-2024","5","15.00"
"MFP","05-Apr-2024","6","10.00"
"MFP","05-Apr-2024","7","10.00"
"MFP","05-Apr-2024","8","10.00"
"MFP","05-Apr-2024","9","10.00"
"MFP","05-Apr-2024","10","10.00"
"MFP","05-Apr-2024","11","9.93"
"MFP","05-Apr-2024","12","13.13"
"MFP","05-Apr-2024","13","15.00"
"MFP","05-Apr-2024","14","35.00"
"MFP","05-Apr-2024","15","37.64"
"MFP","05-Apr-2024","16","35.44"
"MFP","05-Apr-2024","17","37.64"
"MFP","05-Apr-2024","18","37.64"
"MFP","05-Apr-2024","19","35.44"
"MFP","05-Apr-2024","20","35.00"
"MFP","05-Apr-2024","21","22.22"
"MFP","05-Apr-2024","22","22.22"
"MFP","05-Apr-2024","23","15.00"
"MFP","05-Apr-2024","24","11.11"
"MFP","05-Apr-2024","25","15.00"
"MFP","05-Apr-2024","26","15.00"
"MFP","05-Apr-2024","27","15.00"
"MFP","05-Apr-2024","28","15.00"
"MFP","05-Apr-2024","29","11.11"
"MFP","05-Apr-2024","30","15.00"
"MFP","05-Apr-2024","31","15.00"
"MFP","05-Apr-2024","32","15.00"
"MFP","05-Apr-2024","33","15.00"
"MFP","05-Apr-2024","34","15.00"
"MFP","05-Apr-2024","35","15.00"
"MFP","05-Apr-2024","36","33.00"
"MFP","05-Apr-2024","37","39.18"
"MFP","05-Apr-2024","38","38.00"
"MFP","05-Apr-2024","39","38.00"
"MFP","05-Apr-2024","40","38.00"
"MFP","05-Apr-2024","41","32.68"
"MFP","05-Apr-2024","42","32.68"
"MFP","05-Apr-2024","43","24.00"
"MFP","05-Apr-2024","44","35.00"
"MFP","05-Apr-2024","45","19.86"
"MFP","05-Apr-2024","46","20.81"
"MFP","05-Apr-2024","47","91.39"
"MFP","05-Apr-2024","48","50.00"
"MFP","06-Apr-2024","1","53.87"
"MFP","06-Apr-2024","2","63.33"
"MFP","06-Apr-2024","3","55.17"
"MFP","06-Apr-2024","4","30.00"
"MFP","06-Apr-2024","5","22.22"
"MFP","06-Apr-2024","6","12.88"
"MFP","06-Apr-2024","7","11.51"
"MFP","06-Apr-2024","8","11.28"
"MFP","06-Apr-2024","9","11.11"
"MFP","06-Apr-2024","10","11.11"
"MFP","06-Apr-2024","11","12.24"
"MFP","06-Apr-2024","12","17.73"
"MFP","06-Apr-2024","13","30.00"
"MFP","06-Apr-2024","14","50.03"
"MFP","06-Apr-2024","15","50.03"
"MFP","06-Apr-2024","16","59.56"
"MFP","06-Apr-2024","17","70.00"
"MFP","06-Apr-2024","18","100.00"
"MFP","06-Apr-2024","19","70.00"
"MFP","06-Apr-2024","20","73.00"
"MFP","06-Apr-2024","21","53.87"
"MFP","06-Apr-2024","22","44.44"
"MFP","06-Apr-2024","23","35.44"
"MFP","06-Apr-2024","24","30.00"
"MFP","06-Apr-2024","25","44.44"
"MFP","06-Apr-2024","26","44.44"
"MFP","06-Apr-2024","27","53.87"
"MFP","06-Apr-2024","28","44.99"
"MFP","06-Apr-2024","29","42.14"
"MFP","06-Apr-2024","30","44.44"
"MFP","06-Apr-2024","31","44.44"
"MFP","06-Apr-2024","32","44.44"
"MFP","06-Apr-2024","33","70.00"
"MFP","06-Apr-2024","34","55.26"
"MFP","06-Apr-2024","35","63.33"
"MFP","06-Apr-2024","36","100.68"
"MFP","06-Apr-2024","37","175.44"
"MFP","06-Apr-2024","38","175.44"
"MFP","06-Apr-2024","39","188.36"
"MFP","06-Apr-2024","40","200.74"
"MFP","06-Apr-2024","41","198.81"
"MFP","06-Apr-2024","42","188.55"
"MFP","06-Apr-2024","43","175.44"
"MFP","06-Apr-2024","44","140.10"
"MFP","06-Apr-2024","45","68.15"
"MFP","06-Apr-2024","46","49.30"
"MFP","06-Apr-2024","47","44.44"
"MFP","06-Apr-2024","48","44.44"
"MFP","07-Apr-2024","1","63.33"
"MFP","07-Apr-2024","2","54.99"
"MFP","07-Apr-2024","3","33.03"
"MFP","07-Apr-2024","4","30.00"
"MFP","07-Apr-2024","5","12.87"
"MFP","07-Apr-2024","6","10.88"
"MFP","07-Apr-2024","7","10.00"
"MFP","07-Apr-2024","8","10.00"
"MFP","07-Apr-2024","9","10.00"
"MFP","07-Apr-2024","10","10.00"
"MFP","07-Apr-2024","11","11.11"
"MFP","07-Apr-2024","12","15.00"
"MFP","07-Apr-2024","13","28.91"
"MFP","07-Apr-2024","14","30.91"
"MFP","07-Apr-2024","15","30.00"
"MFP","07-Apr-2024","16","30.00"
"MFP","07-Apr-2024","17","30.00"
"MFP","07-Apr-2024","18","32.37"
"MFP","07-Apr-2024","19","22.88"
"MFP","07-Apr-2024","20","29.11"
"MFP","07-Apr-2024","21","22.22"
"MFP","07-Apr-2024","22","17.73"
"MFP","07-Apr-2024","23","11.11"
"MFP","07-Apr-2024","24","10.00"
"MFP","07-Apr-2024","25","22.22"
"MFP","07-Apr-2024","26","22.22"
"MFP","07-Apr-2024","27","24.47"
"MFP","07-Apr-2024","28","35.44"
"MFP","07-Apr-2024","29","35.44"
"MFP","07-Apr-2024","30","47.74"
"MFP","07-Apr-2024","31","44.44"
"MFP","07-Apr-2024","32","44.44"
"MFP","07-Apr-2024","33","44.44"
"MFP","07-Apr-2024","34","50.16"
"MFP","07-Apr-2024","35","50.44"
"MFP","07-Apr-2024","36","50.00"
"MFP","07-Apr-2024","37","124.44"
"MFP","07-Apr-2024","38","124.44"
"MFP","07-Apr-2024","39","189.68"
"MFP","07-Apr-2024","40","193.42"
"MFP","07-Apr-2024","41","188.35"
"MFP","07-Apr-2024","42","186.72"
"MFP","07-Apr-2024","43","175.44"
"MFP","07-Apr-2024","44","125.55"
"MFP","07-Apr-2024","45","70.00"
"MFP","07-Apr-2024","46","52.00"
"MFP","07-Apr-2024","47","44.44"
"MFP","07-Apr-2024","48","41.12"
"MFP","08-Apr-2024","1","70.00"
"MFP","08-Apr-2024","2","44.44"
"MFP","08-Apr-2024","3","15.00"
"MFP","08-Apr-2024","4","12.32"
"MFP","08-Apr-2024","5","10.00"
"MFP","08-Apr-2024","6","10.00"
"MFP","08-Apr-2024","7","10.00"
"MFP","08-Apr-2024","8","10.00"
"MFP","08-Apr-2024","9","10.00"
"MFP","08-Apr-2024","10","10.00"
"MFP","08-Apr-2024","11","11.11"
"MFP","08-Apr-2024","12","17.20"
"MFP","08-Apr-2024","13","53.87"
"MFP","08-Apr-2024","14","76.66"
"MFP","08-Apr-2024","15","88.00"
"MFP","08-Apr-2024","16","100.00"
"MFP","08-Apr-2024","17","124.44"
"MFP","08-Apr-2024","18","300.00"
"MFP","08-Apr-2024","19","175.44"
"MFP","08-Apr-2024","20","134.30"
"MFP","08-Apr-2024","21","124.44"
"MFP","08-Apr-2024","22","105.68"
"MFP","08-Apr-2024","23","92.49"
"MFP","08-Apr-2024","24","87.03"
"MFP","08-Apr-2024","25","105.80"
"MFP","08-Apr-2024","26","105.78"
"MFP","08-Apr-2024","27","111.00"
"MFP","08-Apr-2024","28","76.66"
"MFP","08-Apr-2024","29","124.00"
"MFP","08-Apr-2024","30","263.15"
"MFP","08-Apr-2024","31","264.36"
"MFP","08-Apr-2024","32","264.36"
"MFP","08-Apr-2024","33","37.64"
"MFP","08-Apr-2024","34","37.64"
"MFP","08-Apr-2024","35","37.64"
"MFP","08-Apr-2024","36","37.64"
"MFP","08-Apr-2024","37","37.64"
"MFP","08-Apr-2024","38","37.64"
"MFP","08-Apr-2024","39","37.64"
"MFP","08-Apr-2024","40","37.64"
"MFP","08-Apr-2024","41","37.64"
"MFP","08-Apr-2024","42","37.64"
"MFP","08-Apr-2024","43","37.64"
"MFP","08-Apr-2024","44","37.64"
"MFP","08-Apr-2024","45","37.64"
"MFP","08-Apr-2024","46","35.44"
"MFP","08-Apr-2024","47","35.44"
"MFP","08-Apr-2024","48","30.00"
"MFP","09-Apr-2024","1","19.50"
"MFP","09-Apr-2024","2","12.00"
"MFP","09-Apr-2024","3","10.00"
"MFP","09-Apr-2024","4","10.00"
"MFP","09-Apr-2024","5","10.00"
