"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)"
"MFP","03-Mar-2023","36","122.55"
"MFP","03-Mar-2023","37","188.00"
"MFP","03-Mar-2023","38","121.28"
"MFP","03-Mar-2023","39","201.83"
"MFP","03-Mar-2023","40","131.00"
"MFP","03-Mar-2023","41","128.00"
"MFP","03-Mar-2023","42","121.28"
"MFP","03-Mar-2023","43","37.00"
"MFP","03-Mar-2023","44","25.33"
"MFP","03-Mar-2023","45","25.33"
"MFP","03-Mar-2023","46","25.03"
"MFP","03-Mar-2023","47","25.01"
"MFP","03-Mar-2023","48","25.00"
"MFP","04-Mar-2023","1","10.00"
"MFP","04-Mar-2023","2","10.00"
"MFP","04-Mar-2023","3","1.33"
"MFP","04-Mar-2023","4","1.33"
"MFP","04-Mar-2023","5","1.33"
"MFP","04-Mar-2023","6","0.01"
"MFP","04-Mar-2023","7","1.33"
"MFP","04-Mar-2023","8","1.33"
"MFP","04-Mar-2023","9","1.33"
"MFP","04-Mar-2023","10","10.00"
"MFP","04-Mar-2023","11","15.00"
"MFP","04-Mar-2023","12","15.00"
"MFP","04-Mar-2023","13","50.00"
"MFP","04-Mar-2023","14","50.05"
"MFP","04-Mar-2023","15","120.05"
"MFP","04-Mar-2023","16","128.00"
"MFP","04-Mar-2023","17","70.06"
"MFP","04-Mar-2023","18","120.06"
"MFP","04-Mar-2023","19","73.00"
"MFP","04-Mar-2023","20","88.00"
"MFP","04-Mar-2023","21","73.00"
"MFP","04-Mar-2023","22","48.62"
"MFP","04-Mar-2023","23","48.55"
"MFP","04-Mar-2023","24","52.33"
"MFP","04-Mar-2023","25","73.00"
"MFP","04-Mar-2023","26","73.00"
"MFP","04-Mar-2023","27","73.00"
"MFP","04-Mar-2023","28","50.00"
"MFP","04-Mar-2023","29","73.00"
"MFP","04-Mar-2023","30","73.00"
"MFP","04-Mar-2023","31","73.00"
"MFP","04-Mar-2023","32","50.00"
"MFP","04-Mar-2023","33","50.00"
"MFP","04-Mar-2023","34","73.00"
"MFP","04-Mar-2023","35","73.00"
"MFP","04-Mar-2023","36","73.00"
"MFP","04-Mar-2023","37","128.00"
"MFP","04-Mar-2023","38","88.00"
"MFP","04-Mar-2023","39","128.00"
"MFP","04-Mar-2023","40","120.05"
"MFP","04-Mar-2023","41","88.00"
"MFP","04-Mar-2023","42","73.00"
"MFP","04-Mar-2023","43","73.00"
"MFP","04-Mar-2023","44","50.00"
"MFP","04-Mar-2023","45","50.00"
"MFP","04-Mar-2023","46","50.00"
"MFP","04-Mar-2023","47","50.00"
"MFP","04-Mar-2023","48","13.33"
"MFP","05-Mar-2023","1","10.00"
"MFP","05-Mar-2023","2","10.00"
"MFP","05-Mar-2023","3","10.00"
"MFP","05-Mar-2023","4","10.00"
"MFP","05-Mar-2023","5","10.00"
"MFP","05-Mar-2023","6","1.33"
"MFP","05-Mar-2023","7","10.00"
"MFP","05-Mar-2023","8","10.00"
"MFP","05-Mar-2023","9","10.00"
"MFP","05-Mar-2023","10","10.00"
"MFP","05-Mar-2023","11","10.00"
"MFP","05-Mar-2023","12","10.00"
"MFP","05-Mar-2023","13","15.00"
"MFP","05-Mar-2023","14","30.00"
"MFP","05-Mar-2023","15","73.00"
"MFP","05-Mar-2023","16","73.00"
"MFP","05-Mar-2023","17","30.00"
"MFP","05-Mar-2023","18","73.00"
"MFP","05-Mar-2023","19","30.00"
"MFP","05-Mar-2023","20","37.00"
"MFP","05-Mar-2023","21","50.00"
"MFP","05-Mar-2023","22","33.33"
"MFP","05-Mar-2023","23","33.33"
"MFP","05-Mar-2023","24","25.01"
"MFP","05-Mar-2023","25","37.00"
"MFP","05-Mar-2023","26","50.00"
"MFP","05-Mar-2023","27","37.00"
"MFP","05-Mar-2023","28","33.33"
"MFP","05-Mar-2023","29","37.00"
"MFP","05-Mar-2023","30","34.44"
"MFP","05-Mar-2023","31","34.19"
"MFP","05-Mar-2023","32","34.56"
"MFP","05-Mar-2023","33","25.01"
"MFP","05-Mar-2023","34","37.00"
"MFP","05-Mar-2023","35","33.33"
"MFP","05-Mar-2023","36","37.00"
"MFP","05-Mar-2023","37","110.01"
"MFP","05-Mar-2023","38","50.00"
"MFP","05-Mar-2023","39","110.01"
"MFP","05-Mar-2023","40","73.00"
"MFP","05-Mar-2023","41","50.00"
"MFP","05-Mar-2023","42","37.00"
"MFP","05-Mar-2023","43","35.00"
"MFP","05-Mar-2023","44","25.01"
"MFP","05-Mar-2023","45","25.00"
"MFP","05-Mar-2023","46","25.00"
"MFP","05-Mar-2023","47","10.00"
"MFP","05-Mar-2023","48","10.00"
"MFP","06-Mar-2023","1","10.00"
"MFP","06-Mar-2023","2","10.00"
"MFP","06-Mar-2023","3","1.20"
"MFP","06-Mar-2023","4","1.33"
"MFP","06-Mar-2023","5","1.20"
"MFP","06-Mar-2023","6","0.01"
"MFP","06-Mar-2023","7","1.20"
"MFP","06-Mar-2023","8","1.20"
"MFP","06-Mar-2023","9","1.20"
"MFP","06-Mar-2023","10","1.33"
"MFP","06-Mar-2023","11","10.00"
"MFP","06-Mar-2023","12","10.00"
"MFP","06-Mar-2023","13","25.00"
"MFP","06-Mar-2023","14","33.33"
"MFP","06-Mar-2023","15","50.05"
"MFP","06-Mar-2023","16","52.00"
"MFP","06-Mar-2023","17","37.00"
"MFP","06-Mar-2023","18","50.12"
"MFP","06-Mar-2023","19","37.00"
"MFP","06-Mar-2023","20","55.50"
"MFP","06-Mar-2023","21","50.00"
"MFP","06-Mar-2023","22","50.00"
"MFP","06-Mar-2023","23","51.15"
"MFP","06-Mar-2023","24","44.79"
"MFP","06-Mar-2023","25","50.00"
"MFP","06-Mar-2023","26","50.00"
"MFP","06-Mar-2023","27","51.20"
