"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)"
"MFP","03-Apr-2023","36","33.33"
"MFP","03-Apr-2023","37","146.00"
"MFP","03-Apr-2023","38","72.39"
"MFP","03-Apr-2023","39","121.00"
"MFP","03-Apr-2023","40","73.00"
"MFP","03-Apr-2023","41","53.44"
"MFP","03-Apr-2023","42","47.05"
"MFP","03-Apr-2023","43","43.00"
"MFP","03-Apr-2023","44","25.65"
"MFP","03-Apr-2023","45","33.00"
"MFP","03-Apr-2023","46","13.55"
"MFP","03-Apr-2023","47","10.00"
"MFP","03-Apr-2023","48","1.33"
"MFP","04-Apr-2023","1","7.58"
"MFP","04-Apr-2023","2","10.00"
"MFP","04-Apr-2023","3","1.33"
"MFP","04-Apr-2023","4","0.01"
"MFP","04-Apr-2023","5","0.01"
"MFP","04-Apr-2023","6","0.01"
"MFP","04-Apr-2023","7","0.01"
"MFP","04-Apr-2023","8","0.01"
"MFP","04-Apr-2023","9","0.01"
"MFP","04-Apr-2023","10","1.33"
"MFP","04-Apr-2023","11","1.33"
"MFP","04-Apr-2023","12","1.33"
"MFP","04-Apr-2023","13","10.00"
"MFP","04-Apr-2023","14","15.00"
"MFP","04-Apr-2023","15","50.00"
"MFP","04-Apr-2023","16","73.00"
"MFP","04-Apr-2023","17","37.00"
"MFP","04-Apr-2023","18","75.57"
"MFP","04-Apr-2023","19","50.00"
"MFP","04-Apr-2023","20","74.95"
"MFP","04-Apr-2023","21","73.00"
"MFP","04-Apr-2023","22","37.00"
"MFP","04-Apr-2023","23","37.00"
"MFP","04-Apr-2023","24","33.33"
"MFP","04-Apr-2023","25","73.00"
"MFP","04-Apr-2023","26","73.00"
"MFP","04-Apr-2023","27","51.95"
"MFP","04-Apr-2023","28","73.00"
"MFP","04-Apr-2023","29","73.00"
"MFP","04-Apr-2023","30","37.00"
"MFP","04-Apr-2023","31","55.50"
"MFP","04-Apr-2023","32","37.00"
"MFP","04-Apr-2023","33","37.00"
"MFP","04-Apr-2023","34","73.00"
"MFP","04-Apr-2023","35","37.00"
"MFP","04-Apr-2023","36","73.00"
"MFP","04-Apr-2023","37","147.45"
"MFP","04-Apr-2023","38","73.00"
"MFP","04-Apr-2023","39","215.35"
"MFP","04-Apr-2023","40","130.85"
"MFP","04-Apr-2023","41","88.00"
"MFP","04-Apr-2023","42","50.00"
"MFP","04-Apr-2023","43","15.00"
"MFP","04-Apr-2023","44","13.33"
"MFP","04-Apr-2023","45","10.00"
"MFP","04-Apr-2023","46","10.00"
"MFP","04-Apr-2023","47","10.00"
"MFP","04-Apr-2023","48","1.33"
"MFP","05-Apr-2023","1","1.33"
"MFP","05-Apr-2023","2","1.33"
"MFP","05-Apr-2023","3","0.01"
"MFP","05-Apr-2023","4","0.01"
"MFP","05-Apr-2023","5","0.01"
"MFP","05-Apr-2023","6","0.01"
"MFP","05-Apr-2023","7","0.01"
"MFP","05-Apr-2023","8","0.01"
"MFP","05-Apr-2023","9","0.01"
"MFP","05-Apr-2023","10","0.01"
"MFP","05-Apr-2023","11","1.33"
"MFP","05-Apr-2023","12","1.33"
"MFP","05-Apr-2023","13","10.00"
"MFP","05-Apr-2023","14","13.33"
"MFP","05-Apr-2023","15","37.00"
"MFP","05-Apr-2023","16","50.00"
"MFP","05-Apr-2023","17","13.33"
"MFP","05-Apr-2023","18","50.00"
"MFP","05-Apr-2023","19","30.56"
"MFP","05-Apr-2023","20","37.00"
"MFP","05-Apr-2023","21","33.33"
"MFP","05-Apr-2023","22","33.33"
"MFP","05-Apr-2023","23","33.33"
"MFP","05-Apr-2023","24","55.55"
"MFP","05-Apr-2023","25","73.00"
"MFP","05-Apr-2023","26","73.00"
"MFP","05-Apr-2023","27","73.00"
"MFP","05-Apr-2023","28","52.01"
"MFP","05-Apr-2023","29","69.63"
"MFP","05-Apr-2023","30","73.00"
"MFP","05-Apr-2023","31","73.00"
"MFP","05-Apr-2023","32","73.00"
"MFP","05-Apr-2023","33","73.00"
"MFP","05-Apr-2023","34","73.00"
"MFP","05-Apr-2023","35","55.56"
"MFP","05-Apr-2023","36","73.00"
"MFP","05-Apr-2023","37","128.00"
"MFP","05-Apr-2023","38","88.00"
"MFP","05-Apr-2023","39","133.33"
"MFP","05-Apr-2023","40","88.00"
"MFP","05-Apr-2023","41","73.00"
"MFP","05-Apr-2023","42","59.07"
"MFP","05-Apr-2023","43","37.00"
"MFP","05-Apr-2023","44","15.00"
"MFP","05-Apr-2023","45","15.00"
"MFP","05-Apr-2023","46","10.00"
"MFP","05-Apr-2023","47","10.00"
"MFP","05-Apr-2023","48","1.33"
"MFP","06-Apr-2023","1","1.33"
"MFP","06-Apr-2023","2","10.00"
"MFP","06-Apr-2023","3","1.33"
"MFP","06-Apr-2023","4","1.33"
"MFP","06-Apr-2023","5","1.33"
"MFP","06-Apr-2023","6","0.01"
"MFP","06-Apr-2023","7","1.33"
"MFP","06-Apr-2023","8","1.33"
"MFP","06-Apr-2023","9","0.01"
"MFP","06-Apr-2023","10","1.33"
"MFP","06-Apr-2023","11","1.33"
