"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)"
"MFP","03-Nov-2023","36","116.00"
"MFP","03-Nov-2023","37","194.66"
"MFP","03-Nov-2023","38","55.55"
"MFP","03-Nov-2023","39","159.26"
"MFP","03-Nov-2023","40","66.41"
"MFP","03-Nov-2023","41","118.56"
"MFP","03-Nov-2023","42","88.52"
"MFP","03-Nov-2023","43","46.65"
"MFP","03-Nov-2023","44","35.00"
"MFP","03-Nov-2023","45","35.00"
"MFP","03-Nov-2023","46","22.22"
"MFP","03-Nov-2023","47","10.00"
"MFP","03-Nov-2023","48","15.00"
"MFP","04-Nov-2023","1","35.00"
"MFP","04-Nov-2023","2","33.33"
"MFP","04-Nov-2023","3","10.00"
"MFP","04-Nov-2023","4","10.00"
"MFP","04-Nov-2023","5","10.00"
"MFP","04-Nov-2023","6","10.00"
"MFP","04-Nov-2023","7","10.00"
"MFP","04-Nov-2023","8","10.00"
"MFP","04-Nov-2023","9","10.00"
"MFP","04-Nov-2023","10","10.00"
"MFP","04-Nov-2023","11","10.00"
"MFP","04-Nov-2023","12","10.00"
"MFP","04-Nov-2023","13","22.22"
"MFP","04-Nov-2023","14","22.22"
"MFP","04-Nov-2023","15","44.44"
"MFP","04-Nov-2023","16","44.44"
"MFP","04-Nov-2023","17","29.71"
"MFP","04-Nov-2023","18","53.57"
"MFP","04-Nov-2023","19","40.03"
"MFP","04-Nov-2023","20","42.03"
"MFP","04-Nov-2023","21","35.00"
"MFP","04-Nov-2023","22","27.00"
"MFP","04-Nov-2023","23","27.00"
"MFP","04-Nov-2023","24","27.00"
"MFP","04-Nov-2023","25","35.00"
"MFP","04-Nov-2023","26","35.00"
"MFP","04-Nov-2023","27","35.00"
"MFP","04-Nov-2023","28","30.24"
"MFP","04-Nov-2023","29","35.00"
"MFP","04-Nov-2023","30","35.00"
"MFP","04-Nov-2023","31","35.00"
"MFP","04-Nov-2023","32","33.33"
"MFP","04-Nov-2023","33","33.33"
"MFP","04-Nov-2023","34","50.00"
"MFP","04-Nov-2023","35","45.34"
"MFP","04-Nov-2023","36","50.00"
"MFP","04-Nov-2023","37","124.44"
"MFP","04-Nov-2023","38","53.57"
"MFP","04-Nov-2023","39","124.44"
"MFP","04-Nov-2023","40","71.13"
"MFP","04-Nov-2023","41","55.55"
"MFP","04-Nov-2023","42","50.00"
"MFP","04-Nov-2023","43","44.44"
"MFP","04-Nov-2023","44","35.00"
"MFP","04-Nov-2023","45","35.00"
"MFP","04-Nov-2023","46","35.00"
"MFP","04-Nov-2023","47","15.00"
"MFP","04-Nov-2023","48","10.00"
"MFP","05-Nov-2023","1","10.00"
"MFP","05-Nov-2023","2","10.00"
"MFP","05-Nov-2023","3","9.80"
"MFP","05-Nov-2023","4","9.80"
