"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)"
"MFP","03-Dec-2023","36","71.11"
"MFP","03-Dec-2023","37","140.67"
"MFP","03-Dec-2023","38","88.00"
"MFP","03-Dec-2023","39","140.67"
"MFP","03-Dec-2023","40","137.88"
"MFP","03-Dec-2023","41","137.88"
"MFP","03-Dec-2023","42","76.16"
"MFP","03-Dec-2023","43","71.11"
"MFP","03-Dec-2023","44","50.00"
"MFP","03-Dec-2023","45","50.00"
"MFP","03-Dec-2023","46","15.00"
"MFP","03-Dec-2023","47","15.00"
"MFP","03-Dec-2023","48","10.00"
"MFP","04-Dec-2023","1","15.00"
"MFP","04-Dec-2023","2","10.00"
"MFP","04-Dec-2023","3","10.00"
"MFP","04-Dec-2023","4","10.00"
"MFP","04-Dec-2023","5","9.87"
"MFP","04-Dec-2023","6","10.00"
"MFP","04-Dec-2023","7","10.00"
"MFP","04-Dec-2023","8","10.00"
"MFP","04-Dec-2023","9","10.00"
"MFP","04-Dec-2023","10","10.00"
"MFP","04-Dec-2023","11","10.00"
"MFP","04-Dec-2023","12","15.00"
"MFP","04-Dec-2023","13","20.03"
"MFP","04-Dec-2023","14","35.00"
"MFP","04-Dec-2023","15","50.00"
"MFP","04-Dec-2023","16","60.04"
"MFP","04-Dec-2023","17","35.00"
"MFP","04-Dec-2023","18","70.67"
"MFP","04-Dec-2023","19","44.44"
"MFP","04-Dec-2023","20","68.76"
"MFP","04-Dec-2023","21","68.76"
"MFP","04-Dec-2023","22","62.91"
"MFP","04-Dec-2023","23","55.76"
"MFP","04-Dec-2023","24","50.00"
"MFP","04-Dec-2023","25","44.44"
"MFP","04-Dec-2023","26","51.64"
"MFP","04-Dec-2023","27","51.63"
"MFP","04-Dec-2023","28","49.96"
"MFP","04-Dec-2023","29","54.64"
"MFP","04-Dec-2023","30","148.00"
"MFP","04-Dec-2023","31","130.88"
"MFP","04-Dec-2023","32","43.47"
"MFP","04-Dec-2023","33","50.00"
"MFP","04-Dec-2023","34","69.36"
"MFP","04-Dec-2023","35","51.22"
"MFP","04-Dec-2023","36","71.11"
"MFP","04-Dec-2023","37","130.88"
"MFP","04-Dec-2023","38","71.11"
"MFP","04-Dec-2023","39","130.88"
"MFP","04-Dec-2023","40","84.99"
"MFP","04-Dec-2023","41","79.26"
"MFP","04-Dec-2023","42","44.44"
"MFP","04-Dec-2023","43","30.48"
"MFP","04-Dec-2023","44","15.00"
"MFP","04-Dec-2023","45","15.00"
"MFP","04-Dec-2023","46","15.00"
"MFP","04-Dec-2023","47","10.00"
"MFP","04-Dec-2023","48","10.00"
"MFP","05-Dec-2023","1","11.11"
"MFP","05-Dec-2023","2","10.00"
