"INFORMATION TYPE","RESERVE GROUP","DATE","PERIOD","PRICE ($/MWh)"
"MRP","CONRESA","01-Apr-2024","11","8.55"
"MRP","CONRESB","01-Apr-2024","11","7.27"
"MRP","CONRESC","01-Apr-2024","11","6.42"
"MRP","CONRESD","01-Apr-2024","11","5.13"
"MRP","CONRESE","01-Apr-2024","11","2.14"
"MRP","PRIRESA","01-Apr-2024","11","0.06"
"MRP","PRIRESB","01-Apr-2024","11","0.05"
"MRP","PRIRESC","01-Apr-2024","11","0.05"
"MRP","PRIRESD","01-Apr-2024","11","0.04"
"MRP","PRIRESE","01-Apr-2024","11","0.02"
"MRP","CONRESA","01-Apr-2024","12","10.00"
"MRP","CONRESB","01-Apr-2024","12","8.50"
"MRP","CONRESC","01-Apr-2024","12","7.50"
"MRP","CONRESD","01-Apr-2024","12","6.00"
"MRP","CONRESE","01-Apr-2024","12","2.50"
"MRP","PRIRESA","01-Apr-2024","12","0.05"
"MRP","PRIRESB","01-Apr-2024","12","0.04"
"MRP","PRIRESC","01-Apr-2024","12","0.04"
"MRP","PRIRESD","01-Apr-2024","12","0.03"
"MRP","PRIRESE","01-Apr-2024","12","0.01"
"MRP","CONRESA","01-Apr-2024","13","10.00"
"MRP","CONRESB","01-Apr-2024","13","8.50"
"MRP","CONRESC","01-Apr-2024","13","7.50"
"MRP","CONRESD","01-Apr-2024","13","6.00"
"MRP","CONRESE","01-Apr-2024","13","2.50"
"MRP","PRIRESA","01-Apr-2024","13","0.05"
"MRP","PRIRESB","01-Apr-2024","13","0.04"
"MRP","PRIRESC","01-Apr-2024","13","0.04"
"MRP","PRIRESD","01-Apr-2024","13","0.03"
"MRP","PRIRESE","01-Apr-2024","13","0.01"
"MRP","CONRESA","01-Apr-2024","14","15.00"
"MRP","CONRESB","01-Apr-2024","14","12.75"
"MRP","CONRESC","01-Apr-2024","14","11.25"
"MRP","CONRESD","01-Apr-2024","14","9.00"
"MRP","CONRESE","01-Apr-2024","14","3.75"
"MRP","PRIRESA","01-Apr-2024","14","0.50"
"MRP","PRIRESB","01-Apr-2024","14","0.43"
"MRP","PRIRESC","01-Apr-2024","14","0.38"
"MRP","PRIRESD","01-Apr-2024","14","0.30"
"MRP","PRIRESE","01-Apr-2024","14","0.13"
"MRP","CONRESA","01-Apr-2024","15","38.69"
"MRP","CONRESB","01-Apr-2024","15","32.88"
"MRP","CONRESC","01-Apr-2024","15","29.02"
"MRP","CONRESD","01-Apr-2024","15","23.21"
"MRP","CONRESE","01-Apr-2024","15","9.67"
"MRP","PRIRESA","01-Apr-2024","15","5.88"
"MRP","PRIRESB","01-Apr-2024","15","5.00"
"MRP","PRIRESC","01-Apr-2024","15","4.41"
"MRP","PRIRESD","01-Apr-2024","15","3.53"
"MRP","PRIRESE","01-Apr-2024","15","1.47"
"MRP","CONRESA","01-Apr-2024","16","124.44"
"MRP","CONRESB","01-Apr-2024","16","105.77"
"MRP","CONRESC","01-Apr-2024","16","93.33"
"MRP","CONRESD","01-Apr-2024","16","74.66"
"MRP","CONRESE","01-Apr-2024","16","31.11"
"MRP","PRIRESA","01-Apr-2024","16","1.00"
"MRP","PRIRESB","01-Apr-2024","16","0.85"
"MRP","PRIRESC","01-Apr-2024","16","0.75"
"MRP","PRIRESD","01-Apr-2024","16","0.60"
"MRP","PRIRESE","01-Apr-2024","16","0.25"
"MRP","CONRESA","01-Apr-2024","17","178.37"
"MRP","CONRESB","01-Apr-2024","17","151.61"
"MRP","CONRESC","01-Apr-2024","17","133.78"
"MRP","CONRESD","01-Apr-2024","17","107.02"
"MRP","CONRESE","01-Apr-2024","17","44.59"
"MRP","PRIRESA","01-Apr-2024","17","22.00"
"MRP","PRIRESB","01-Apr-2024","17","18.70"
"MRP","PRIRESC","01-Apr-2024","17","16.50"
"MRP","PRIRESD","01-Apr-2024","17","13.20"
"MRP","PRIRESE","01-Apr-2024","17","5.50"
"MRP","CONRESA","01-Apr-2024","18","178.37"
"MRP","CONRESB","01-Apr-2024","18","151.61"
"MRP","CONRESC","01-Apr-2024","18","133.78"
"MRP","CONRESD","01-Apr-2024","18","107.02"
"MRP","CONRESE","01-Apr-2024","18","44.59"
"MRP","PRIRESA","01-Apr-2024","18","41.00"
"MRP","PRIRESB","01-Apr-2024","18","34.85"
"MRP","PRIRESC","01-Apr-2024","18","30.75"
"MRP","PRIRESD","01-Apr-2024","18","24.60"
"MRP","PRIRESE","01-Apr-2024","18","10.25"
"MRP","CONRESA","01-Apr-2024","19","178.37"
"MRP","CONRESB","01-Apr-2024","19","151.61"
"MRP","CONRESC","01-Apr-2024","19","133.78"
"MRP","CONRESD","01-Apr-2024","19","107.02"
"MRP","CONRESE","01-Apr-2024","19","44.59"
"MRP","PRIRESA","01-Apr-2024","19","22.00"
"MRP","PRIRESB","01-Apr-2024","19","18.70"
"MRP","PRIRESC","01-Apr-2024","19","16.50"
"MRP","PRIRESD","01-Apr-2024","19","13.20"
"MRP","PRIRESE","01-Apr-2024","19","5.50"
"MRP","CONRESA","01-Apr-2024","20","178.37"
"MRP","CONRESB","01-Apr-2024","20","151.61"
"MRP","CONRESC","01-Apr-2024","20","133.78"
"MRP","CONRESD","01-Apr-2024","20","107.02"
"MRP","CONRESE","01-Apr-2024","20","44.59"
"MRP","PRIRESA","01-Apr-2024","20","22.00"
"MRP","PRIRESB","01-Apr-2024","20","18.70"
"MRP","PRIRESC","01-Apr-2024","20","16.50"
"MRP","PRIRESD","01-Apr-2024","20","13.20"
"MRP","PRIRESE","01-Apr-2024","20","5.50"
"MRP","CONRESA","01-Apr-2024","21","178.37"
"MRP","CONRESB","01-Apr-2024","21","151.61"
"MRP","CONRESC","01-Apr-2024","21","133.78"
"MRP","CONRESD","01-Apr-2024","21","107.02"
"MRP","CONRESE","01-Apr-2024","21","44.59"
"MRP","PRIRESA","01-Apr-2024","21","33.00"
"MRP","PRIRESB","01-Apr-2024","21","28.05"
"MRP","PRIRESC","01-Apr-2024","21","24.75"
"MRP","PRIRESD","01-Apr-2024","21","19.80"
"MRP","PRIRESE","01-Apr-2024","21","8.25"
"MRP","CONRESA","01-Apr-2024","22","178.37"
"MRP","CONRESB","01-Apr-2024","22","151.61"
"MRP","CONRESC","01-Apr-2024","22","133.78"
"MRP","CONRESD","01-Apr-2024","22","107.02"
"MRP","CONRESE","01-Apr-2024","22","44.59"
"MRP","PRIRESA","01-Apr-2024","22","22.00"
"MRP","PRIRESB","01-Apr-2024","22","18.70"
"MRP","PRIRESC","01-Apr-2024","22","16.50"
"MRP","PRIRESD","01-Apr-2024","22","13.20"
"MRP","PRIRESE","01-Apr-2024","22","5.50"
"MRP","CONRESA","01-Apr-2024","23","178.37"
"MRP","CONRESB","01-Apr-2024","23","151.61"
"MRP","CONRESC","01-Apr-2024","23","133.78"
"MRP","CONRESD","01-Apr-2024","23","107.02"
"MRP","CONRESE","01-Apr-2024","23","44.59"
"MRP","PRIRESA","01-Apr-2024","23","11.55"
"MRP","PRIRESB","01-Apr-2024","23","9.82"
"MRP","PRIRESC","01-Apr-2024","23","8.66"
"MRP","PRIRESD","01-Apr-2024","23","6.93"
"MRP","PRIRESE","01-Apr-2024","23","2.89"
"MRP","CONRESA","01-Apr-2024","24","178.37"
"MRP","CONRESB","01-Apr-2024","24","151.61"
"MRP","CONRESC","01-Apr-2024","24","133.78"
"MRP","CONRESD","01-Apr-2024","24","107.02"
"MRP","CONRESE","01-Apr-2024","24","44.59"
