"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)"
"MFP","03-Jan-2024","36","110.90"
"MFP","03-Jan-2024","37","122.99"
"MFP","03-Jan-2024","38","45.17"
"MFP","03-Jan-2024","39","73.00"
"MFP","03-Jan-2024","40","73.25"
"MFP","03-Jan-2024","41","53.20"
"MFP","03-Jan-2024","42","37.00"
"MFP","03-Jan-2024","43","11.90"
"MFP","03-Jan-2024","44","10.00"
"MFP","03-Jan-2024","45","10.00"
"MFP","03-Jan-2024","46","10.00"
"MFP","03-Jan-2024","47","10.00"
"MFP","03-Jan-2024","48","10.00"
"MFP","04-Jan-2024","1","10.00"
"MFP","04-Jan-2024","2","10.00"
"MFP","04-Jan-2024","3","9.80"
"MFP","04-Jan-2024","4","9.80"
"MFP","04-Jan-2024","5","9.80"
"MFP","04-Jan-2024","6","10.00"
"MFP","04-Jan-2024","7","10.00"
"MFP","04-Jan-2024","8","9.80"
"MFP","04-Jan-2024","9","9.80"
"MFP","04-Jan-2024","10","9.80"
"MFP","04-Jan-2024","11","9.80"
"MFP","04-Jan-2024","12","10.00"
"MFP","04-Jan-2024","13","11.11"
"MFP","04-Jan-2024","14","15.00"
"MFP","04-Jan-2024","15","35.44"
"MFP","04-Jan-2024","16","35.44"
"MFP","04-Jan-2024","17","11.79"
"MFP","04-Jan-2024","18","37.00"
"MFP","04-Jan-2024","19","43.26"
"MFP","04-Jan-2024","20","47.77"
"MFP","04-Jan-2024","21","49.99"
"MFP","04-Jan-2024","22","44.44"
"MFP","04-Jan-2024","23","44.44"
"MFP","04-Jan-2024","24","41.21"
"MFP","04-Jan-2024","25","36.48"
"MFP","04-Jan-2024","26","35.44"
"MFP","04-Jan-2024","27","35.44"
"MFP","04-Jan-2024","28","37.80"
"MFP","04-Jan-2024","29","44.44"
"MFP","04-Jan-2024","30","44.44"
"MFP","04-Jan-2024","31","43.53"
"MFP","04-Jan-2024","32","44.44"
"MFP","04-Jan-2024","33","44.59"
"MFP","04-Jan-2024","34","53.57"
"MFP","04-Jan-2024","35","53.57"
"MFP","04-Jan-2024","36","49.99"
"MFP","04-Jan-2024","37","68.12"
"MFP","04-Jan-2024","38","44.44"
"MFP","04-Jan-2024","39","58.88"
"MFP","04-Jan-2024","40","44.44"
"MFP","04-Jan-2024","41","35.44"
"MFP","04-Jan-2024","42","26.58"
"MFP","04-Jan-2024","43","10.00"
"MFP","04-Jan-2024","44","10.00"
"MFP","04-Jan-2024","45","10.00"
"MFP","04-Jan-2024","46","11.11"
